"Reference","Value","Footprint","Qty","Digikey Part#","Digikey URL"
"IC1","AD8232ACPZ-R7","myLibrary:CP_20_10_ADI","1","505-AD8232ACPZ-R7CT-ND","https://www.digikey.in/en/products/detail/analog-devices-inc/AD8232ACPZ-R7/3758432"
"R14","100K","Resistor_SMD:R_0402_1005Metric","1","311-100KLRTR-ND","https://www.digikey.in/en/products/detail/yageo/RC0402FR-07100KL/726526"
"R11,R12,R13","1M","Resistor_SMD:R_0402_1005Metric","3","A129663CT-ND","https://www.digikey.in/en/products/detail/te-connectivity-passive-product/CRGCQ0402F1M0/8576265"
"R9","360K","Resistor_SMD:R_0402_1005Metric","1","P360KLTR-ND","https://www.digikey.in/en/products/detail/panasonic-electronic-components/ERJ-2RKF3603X/1746207"
"R6,R8","180K","Resistor_SMD:R_0402_1005Metric","2","CR0402-FX-1803GLFCT-ND","https://www.digikey.in/en/products/detail/bourns-inc/CR0402-FX-1803GLF/3783200"
"R5","1.4M","Resistor_SMD:R_0402_1005Metric","1","RMCF0402FT1M40TR-ND","https://www.digikey.in/en/products/detail/stackpole-electronics-inc/RMCF0402FT1M40/1714344"
"R1,R2,R3,R4,R7,R10","10M","Resistor_SMD:R_0402_1005Metric","6","541-10.0MLCT-ND","https://www.digikey.in/en/products/detail/vishay-dale/CRCW040210M0FKED/1178433"
"J1","Conn_01x09","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1","",""
"C7","10nF","Capacitor_SMD:C_0402_1005Metric","1","478-KGM05AR70J103KHTR-ND","https://www.digikey.in/en/products/detail/kyocera-avx/KGM05AR70J103KH/1597637"
"C6","1.5nF","Capacitor_SMD:C_0402_1005Metric","1","478-KGM05AR70J152KHTR-ND","https://www.digikey.in/en/products/detail/kyocera-avx/KGM05AR70J152KH/3080050"
"C5","1nF","Capacitor_SMD:C_0402_1005Metric","1","399-C0402C102K9RACTUTR-ND","https://www.digikey.in/en/products/detail/kemet/C0402C102K9RACTU/2196206"
"C3,C4","0.33uF","Capacitor_SMD:C_0402_1005Metric","2","445-172465-2-ND","https://www.digikey.in/en/products/detail/tdk-corporation/C1005X6S0G334K050BB/4989840"
"C1,C2","0.1uF","Capacitor_SMD:C_0402_1005Metric","2","399-14871-2-ND","https://www.digikey.in/en/products/detail/kemet/C0402C104K7PACTU/7381987"
